maxpool2d
0.0014989376068115234
0.0014972686767578125
0.003522634506225586
0.0035033226013183594
0.003623485565185547
0.0035333633422851562
0.0051991939544677734
0.0040187835693359375
0.006907224655151367
0.0060617923736572266
0.008009910583496094
0.008000850677490234
0.008074045181274414
0.008028268814086914
0.0013685226440429688
0.0034677982330322266
0.0031931400299072266
0.003192424774169922
0.003172636032104492
0.0032825469970703125
0.012388944625854492
0.008008480072021484
alexnet_2.py , 80 , 2879.7119123653342
vgg11_bn_4.py , 80 , 1508.4765634834148
alexnet_1.py , 80 , 864.6277888937705
vgg16_bn_4.py , 80 , 1422.5152513343592
vgg13_4.py , 80 , 1442.1202513556505
vgg16_4.py , 80 , 1475.1865941495364
vgg19_bn_4.py , 80 , 1453.2736566465387
vgg19_4.py , 80 , 1440.0604960106366
vgg13_bn_4.py , 80 , 1436.1829202837573
vgg11_4.py , 80 , 1431.9887504507715
alexnet_0.py , 80 , 608.0642407957033
squeezenet1_1_2.py , 80 , 663.0008255295304
vgg11_3.py , 80 , 372.0969267079183
squeezenet1_0_2.py , 80 , 321.9180133710246
squeezenet1_1_1.py , 80 , 300.9558278519669
vgg16_bn_3.py , 80 , 368.17775534500447
vgg19_3.py , 80 , 371.89455859896174
vgg13_3.py , 80 , 371.4155605553208
vgg16_3.py , 80 , 370.9686342396302
vgg19_bn_3.py , 80 , 371.15718604221826
vgg11_bn_3.py , 80 , 368.9507842879613
vgg13_bn_3.py , 80 , 368.73342567118203
inception_v3_google_1.py , 80 , 233.7369936100358
vgg11_bn_2.py , 80 , 191.71741602943567
vgg13_bn_2.py , 80 , 189.95010774494412
vgg19_2.py , 80 , 190.47231746945394
vgg11_2.py , 80 , 191.2041197079425
vgg16_2.py , 80 , 191.54150278854442
vgg13_2.py , 80 , 191.09034104693424
vgg19_bn_2.py , 80 , 190.41432770772565
vgg16_bn_2.py , 80 , 190.30297620063757
inception_v3_google_0.py , 80 , 151.97692466146913
squeezenet1_0_1.py , 80 , 151.61674397722732
squeezenet1_1_0.py , 80 , 146.65794090688547
resnext101_64x4d_0.py , 80 , 142.64637719469448
resnext50_32x4d_0.py , 80 , 142.51637681262832
resnext101_32x8d_0.py , 80 , 142.6777661968688
resnet18_0.py , 80 , 142.66588224259513
resnet34_0.py , 80 , 143.07547332325328
resnet50_0.py , 80 , 142.64046487082732
resnet101_0.py , 80 , 142.56772580849653
squeezenet1_0_0.py , 80 , 101.64094980387857
vgg16_1.py , 80 , 97.73710949351425
vgg19_1.py , 80 , 98.37260720816776
vgg13_1.py , 80 , 98.25305137914862
vgg16_bn_1.py , 80 , 97.91608972866614
vgg11_bn_1.py , 80 , 98.04189304145271
vgg13_bn_1.py , 80 , 97.7594113417404
vgg11_1.py , 80 , 97.62737176265443
vgg19_bn_1.py , 80 , 97.46535252119875
vgg13_0.py , 80 , 49.353898654072644
vgg16_0.py , 80 , 49.63346203096435
vgg19_0.py , 80 , 49.55224056046327
vgg16_bn_0.py , 80 , 49.48909589494311
vgg13_bn_0.py , 80 , 49.505760233975074
vgg11_0.py , 80 , 49.53189463685753
vgg19_bn_0.py , 80 , 49.51135720194463
vgg11_bn_0.py , 80 , 49.397812729994286
wide_resnet50_2_0.py , 80 , 143.2154873216189
wide_resnet101_2_0.py , 80 , 142.99135738873204
