Pattern Duration Time% Call ModelNum NormalizedTime
aten::div_, 4.956 0.00000000029953484560 156 7 0.00000000004279069223
aten::erf, 4.671 0.00000000028232043612 48 1 0.00000000028232043612
aten::triu, 4.614 0.00000000027887520267 496 1 0.00000000027887520267
autograd::engine::evaluate_function:NllLossBackward0, 4.288 0.00000000025917147335 192 1 0.00000000025917147335
aten::leaky_relu, 4.053 0.00000000024496783363 46 1 0.00000000024496783363
aten::tril, 3.644 0.00000000022023831838 168 7 0.00000000003146261691
DistributedDataParallel.forward, 3.471 0.00000000020977153892 1 1 0.00000000020977153892
aten::nonzero_numpy, 3.254 0.00000000019666610605 216 6 0.00000000003277768434
aten::reflection_pad2d, 3.009 0.00000000018186729158 20 1 0.00000000018186729158
aten::embedding_bag, 2.934 0.00000000017733422497 8 1 0.00000000017733422497
aten::glu, 2.637 0.00000000015938321569 12 1 0.00000000015938321569
aten::ne, 2.460 0.00000000014867907974 216 43 0.00000000000345765302
autograd::engine::evaluate_function:LogSoftmaxBackward0, 2.426 0.00000000014663012928 192 1 0.00000000014663012928
aten::one_hot, 1.822 0.00000000011011981360 11 11 0.00000000001001089215
autograd::engine::evaluate_function:ViewBackward0, 1.783 0.00000000010776649650 192 1 0.00000000010776649650
aten::new_zeros, 1.568 0.00000000009476772845 224 7 0.00000000001353824692
autograd::engine::evaluate_function:TBackward0, 1.504 0.00000000009090342722 192 1 0.00000000009090342722
aten::std, 1.402 0.00000000008473844679 24 1 0.00000000008473844679
aten::le, 1.383 0.00000000008358864757 91 3 0.00000000002786288252
aten::split, 1.161 0.00000000007016998334 56 12 0.00000000000584749861
aten::mse_loss, 0.991 0.00000000005989488886 14 14 0.00000000000427820635
aten::l1_loss, 0.963 0.00000000005820479233 6 2 0.00000000002910239617
aten::minimum, 0.872 0.00000000005270464914 24 1 0.00000000005270464914
aten::as_strided, 0.844 0.00000000005101035200 417 7 0.00000000000728719314
aten::neg, 0.836 0.00000000005052674256 130 15 0.00000000000336844950
aten::new_empty, 0.774 0.00000000004677961390 168 7 0.00000000000668280199
aten::narrow, 0.769 0.00000000004647702380 144 6 0.00000000000774617063
gloo:all_to_all, 0.618 0.00000000003734912447 1 1 0.00000000003734912447
aten::sin, 0.555 0.00000000003354324940 10 10 0.00000000000335432494
aten::cos, 0.507 0.00000000003064221106 10 10 0.00000000000306422111
aten::cumsum, 0.475 0.00000000002870856063 37 30 0.00000000000095695202
aten::group_norm, 0.427 0.00000000002580835307 20 1 0.00000000002580835307
aten::unsqueeze_, 0.424 0.00000000002562703123 61 1 0.00000000002562703123
aten::eye, 0.389 0.00000000002351049172 10 10 0.00000000000235104917
aten::reshape_as, 0.328 0.00000000001982467766 57 1 0.00000000001982467766
aten::abs, 0.320 0.00000000001934091081 27 5 0.00000000000386818216
autograd::engine::evaluate_function:torch::autograd::AccumulateGrad, 0.293 0.00000000001770924480 174 1 0.00000000001770924480
aten::nll_loss_nd, 0.225 0.00000000001359925145 2 1 0.00000000001359925145
aten::squeeze, 0.177 0.00000000001069759847 43 22 0.00000000000048625448
aten::selu, 0.115 0.00000000000695072741 6 1 0.00000000000695072741
autograd::engine::evaluate_function:AddBackward0, 0.111 0.00000000000670896305 32 1 0.00000000000670896305
aten::any, 0.097 0.00000000000586257981 7 7 0.00000000000083751140
aten::leaky_relu_, 0.071 0.00000000000429131906 4 1 0.00000000000429131906
aten::addcdiv_, 0.070 0.00000000000423087760 18 1 0.00000000000423087760
aten::__xor__, 0.060 0.00000000000362646675 4 1 0.00000000000362646675
aten::fmod, 0.056 0.00000000000338470230 4 1 0.00000000000338470230
aten::addcmul_, 0.055 0.00000000000332426097 18 1 0.00000000000332426097
aten::zero_, 0.048 0.00000000000290117321 11 1 0.00000000000290117321
aten::linspace, 0.040 0.00000000000241764455 2 1 0.00000000000241764455
autograd::engine::evaluate_function:DivBackward0, 0.029 0.00000000000175279215 1 1 0.00000000000175279215
aten::broadcast_tensors, 0.026 0.00000000000157142928 20 16 0.00000000000009821433
aten::all, 0.017 0.00000000000102749892 2 1 0.00000000000102749892
fbgemm::permute_2D_sparse_data, 0.015 0.00000000000090653215 1 1 0.00000000000090653215
aten::resolve_neg, 0.001 0.00000000000006043548 1 1 0.00000000000006043548
aten::resolve_conj, 0.001 0.00000000000006043548 1 1 0.00000000000006043548
