Pattern Duration Time% Call ModelNum NormalizedTime
aten::conv2d, 3753.606 4733.77135006258959037950 15212 111 42.64658873930260796214
aten::conv3d, 144.922 264.35701962111204466055 77 3 88.11900654037067681656
aten::linear, 4946.772 251.60497162063066411974 49307 236 1.06612276110436732246
aten::conv_transpose2d, 23.966 0.76175978440770264477 4 3 0.25391992813590086309
aten::matmul, 488.008 0.00000002949472375830 6200 121 0.00000000024375804759
aten::bmm, 347.411 0.00000002099787572670 12241 10 0.00000000209978757267
aten::addmm, 117.112 0.00000000707819321972 192 4 0.00000000176954830493
aten::conv_transpose1d, 46.687 0.00000000282181425517 6 1 0.00000000282181425517
aten::conv1d, 24.712 0.00000000149362079109 18 1 0.00000000149362079109
